iter	RMSE
0	813.8033213
1	812.9418363
2	812.3613923
3	811.7091648
4	811.1507247
5	810.505914
6	810.0518524
7	809.5843051
8	809.1890354
9	808.6154907
10	808.0338611	430.5212181
12	12	807.2878426
13	807.1397069
14	806.8578317
15	806.6353795
16	806.3025665
17	806.0115612
18	805.8016992
19	805.6677927
20	805.3284633
21	805.1267412
22	804.9607377
23	804.79741
24	804.6382695
25	804.4880034
26	804.2345796
27	804.0771151
28	804.0083461
29	803.95113
30	803.8795438
31	803.7972284
32	803.7127676
33	803.6279731
34	803.4590781
35	803.4160151
36	803.3977023
37	803.356778
38	803.2868052
39	803.2566557
40	803.1639973
41	803.0043015
42	802.8757191
43	802.8553372
44	802.7919569
45	802.7692661
46	802.7053171
47	802.6266412
48	802.5632596
49	802.5078357
50	802.4326617
51	802.3757023
52	802.2636561
53	802.2320005
54	802.1967929
55	802.1791973
56	802.1098945
57	802.0015531
58	801.957052
59	801.9344984
60	801.8584854
61	801.8268862
62	801.7707017
63	801.7284655
64	801.6857705
65	801.6536893
66	801.6253205
67	801.5756194
68	801.54802
69	801.5014474
70	801.4800466
71	801.4380691
72	801.4332124
73	801.4008964
74	801.4004734
75	801.3768936
76	801.3635844
77	801.3408868
78	801.3169208
79	801.3016114
80	801.2743775
81	801.2285587
82	801.2171782
83	801.2052503
84	801.1717768
85	801.1408043
86	801.1315684
87	801.117292
88	801.1147249
89	801.0984992
90	801.0382723
91	801.0148648
92	800.9912704
93	800.9618729
94	800.9351824
95	800.9205855
96	800.8888317
97	800.8873986
98	800.8758212
99	800.861207
100	800.8505564
101	800.8174436
102	800.7755058
103	800.7581968
104	800.7309179
105	800.7290076
106	800.7246669
107	800.6849193
108	800.109	419.109	800.6583883
110	800.6417171
111	800.112	419.112	800.113	419.113	800.114	418.114	800.115	418115	800.5116	418116	800.117	418.117	800.118	418.118	800.119	418.119	800.120	418.7904142
121	418.121	800.122	418.122	800.123	418.123	800.4778741
124	800.4735304
125	80126	418.73126	800.4288444
127	800.4223294
128	800.4208266
129	800.380483
130	800.3670851
131	800.3649738
132	800.359112
133	800.3482957
134	800.3475645
135	800136	418.5136	800137	418.5137	800138	418.4890322
139	418.4604509
140	418.3863929
141	418141	800.2142	418142	800.2143	418143	800.2214003
144	800.145	418.145	800.1764625
146	800147	418.2147	800148	418.1148	800149	418.1548611
150	418.0874708
151	418.0791756
152	418.0619545
153	418.0153	800154	418.0433892
155	418.0155	800156	417.9156	80157	417.92157	79158	417.91158	7159	417.904159	7160	417.894160	7161	417.888161	7162	417.8786251
163	417.8460546
164	417.8372939
165	417.8002838
166	417.7402292
167	417.7268035
168	417.7107566
169	417.68169	799.8320262
170	7171	417.644171	7172	417.606172	7173	417.576173	7174	417.541174	175	417.5330175	176	417.3945176	177	417.3679177	178	417.311178	7179	417.279179	799.7126194
180	799.6964982
181	799.6906904
182	799.6685547
183	799.6632317
184	799.6427421
185	799.6332522
186	799.612955
187	799.6079554
188	799.5905084
189	799.5854493
190	7191	416.945191	799.5606305
192	7193	416.843193	7194	416.821194	7195	416.812195	7196	416.7424127
197	416.6928806
198	416.6662082
199	416.6422521
200	416.6200	799201	416.617124
202	416.59202	79203	416.5425367
204	416.5319853
205	416.50205	79206	416.48206	79207	416.37207	79208	416.35208	79209	416.33209	79210	416.31210	79211	416.29211	79212	416.19212	79213	416.12213	79214	416.10214	7215	416.088215	7216	416.070216	7217	416.060217	7218	416.052218	7219	415.984219	7220	415.928220	7221	415.910221	7222	415.893222	7223	415.877223	7224	415.859224	7225	415.850225	7226	415.801226	7227	415.793227	228	415.7777228	229	415.7636229	230	415.7550230	799.1429856
231	799.1386643
232	799.1368036
233	799.1316493
234	799.1250549
235	799.1230818
236	799.1177598
237	799.1156095
238	239	415.5760239	240	415.5607240	241	415.546364
242	415.5321343
243	415.527288
244	415.5226178
245	415.509149
246	415.4293745
247	415.4164251
248	415.4084921
249	415.3958966
250	415.390585
251	415.3475661
252	415.3426059
253	415.327736
254	415.30062
255	415.2968819
256	415.2232632
257	415.1855266
258	415.1777215
259	415.1745884
260	415.1678946
261	415.1644074
262	415.1614583
263	415.1554983
264	415.0862245
265	415.0652656
266	415.0621296
267	415.0495438
268	415.0377228
269	414.9885284
270	414.98018027271	414.96134127272	414.95742927273	414.946432
274	414.89907222275	414.8881017
276	414.8826723
277	414.8739709
278	414.8711581
279	414.8653299
280	414.8615608
281	414.8563313
282	414.8497402
283	414.8472603
284	414.8373171
285	414.8029157
286	414.7959688
287	414.764063
288	414.748952
289	414.7426349
290	414.7323238
291	414.7281068
292	414.7240603
293	414.7193466
294	414.7154996
295	414.7109803
296	414.7073301
297	414.7023321
298	414.697599
299	414.6943155
300	414.6823057
301	414.6788127
302	414.6745592
303	414.6714951
304	414.6615244
305	414.6560593
306	414.61262783307	414.59621923308	414.58562373309	414.57457033310	414.57150173311	414.56338963312	414.55847312313	414.554233314	414.5441233315	414.52914123316	414.51668731317	414.51230731318	414.50255531319	414.49772131320	414.49607832321	414.49159932322	414.44984322323	414.44102323324	414.43706324325	414.42327325326	414.3976546
327	414.3874975
328	414.378972
329	414.3395688
330	414.3374327
331	414.324754
332	414.3188325
333	414.3166236
334	414.3085391
335	414.3054605
336	414.2986743
337	414.2944751
338	414.274469
339	414.2291629
340	414.2143324
341	414.2109701
342	414.2085922
343	414.1654815
344	414.159217
345	414.155368
346	414.1469988
347	414.1125379
348	414.0724688
349	414.0638123
350	414.0518349
351	414.0483175
352	414.042011
353	414.0306875
354	414.029222
355	414.0251054
