iter	Passed	Remaining
0	8	8565
1	14	7237
2	25	8371
3	34	8471
4	43	8718
5	49	8147
6	57	8120
7	66	8206
8	81	9007
9	109	10860
10	149	13447
11	169	13968
12	186	14156
13	195	13773
14	201	13212
15	216	13327
16	222	12889
17	228	12452
18	234	12127
19	248	12183
20	256	11947
21	332	14771
22	337	14353
23	354	14417
24	361	14084
25	380	14269
26	388	13991
27	394	13695
28	406	13596
29	411	13306
30	434	13572
31	442	13385
32	477	13977
33	514	14629
34	526	14506
35	599	16064
36	623	16233
37	637	16150
38	642	15832
39	647	15551
40	655	15343
41	663	15124
42	684	15238
43	696	15124
44	700	14869
45	707	14674
46	710	14398
47	745	14792
48	755	14655
49	767	14587
50	772	14367
51	778	14189
52	783	14002
53	790	13852
54	829	14255
55	885	14920
56	889	14722
57	895	14539
58	900	14359
59	911	14272
60	914	14075
61	917	13879
62	924	13745
63	940	13755
64	947	13628
65	952	13480
66	965	13443
67	970	13306
68	978	13205
69	1002	13323
70	1008	13193
71	1096	14128
72	1105	14042
73	1113	13938
74	1117	13777
75	1129	13728
76	1144	13722
77	1150	13593
78	1161	13541
79	1167	13423
80	1182	13419
81	1216	13613
82	1238	13680
83	1267	13816
84	1275	13726
85	1281	13615
86	1287	13512
87	1296	13435
88	1304	13351
89	1310	13248
90	1386	13847
91	1394	13763
92	1399	13644
93	1408	13571
94	1442	13741
95	1490	14031
96	1498	13953
97	1505	13860
98	1524	13874
99	1527	13748
100	1533	13650
101	1541	13574
102	1559	13584
103	1572	13547
104	1577	13448
105	1628	13735
106	1641	13699
107	1659	13707
108	1675	13696
109	1715	13876
110	1726	13827
111	1729	13710
112	1769	13886
113	1792	13929
114	1797	13835
115	1832	13962
116	1844	13922
117	1851	13838
118	1859	13764
119	1865	13678
120	1875	13626
121	1881	13542
122	1907	13603
123	1922	13582
124	2024	14169
125	2058	14275
126	2098	14426
127	2109	14368
128	2141	14459
129	2173	14543
130	2251	14933
131	2257	14843
132	2261	14744
133	2270	14673
134	2289	14671
135	2296	14586
136	2312	14568
137	2321	14499
138	2446	15152
139	2456	15090
140	2467	15034
141	2472	14937
142	2479	14858
143	2484	14767
144	2487	14668
145	2578	15084
146	2582	14987
147	2585	14885
148	2596	14827
149	2600	14738
150	2632	14799
151	2636	14706
152	2650	14674
153	2660	14616
154	2697	14705
155	2701	14617
156	2705	14529
157	2718	14487
158	2747	14532
159	3001	15758
160	3019	15735
161	3029	15671
162	3045	15638
163	3117	15892
164	3130	15840
165	3144	15797
166	3212	16023
167	3220	15950
168	3248	15971
169	3278	16007
170	3307	16035
171	3331	16039
172	3345	15994
173	3348	15897
174	3365	15865
175	3389	15870
176	3447	16031
177	3464	15998
178	3470	15916
179	3481	15862
180	3493	15808
181	3499	15729
182	3524	15733
183	3529	15652
184	3534	15568
185	3560	15581
186	3569	15518
187	3573	15435
188	3583	15377
189	3603	15360
190	3609	15286
191	3702	15579
192	3706	15497
193	3713	15429
194	3720	15359
195	3777	15497
196	3787	15436
197	3798	15385
198	3833	15430
199	3838	15354
200	3850	15304
201	3854	15227
202	3867	15184
203	3872	15108
204	3889	15082
205	3901	15038
206	3906	14964
207	3916	14912
208	3921	14843
209	3945	14843
210	3955	14789
211	3968	14749
212	3976	14690
213	4004	14708
214	4018	14671
215	4035	14649
216	4078	14716
217	4085	14655
218	4097	14611
219	4105	14554
220	4116	14510
221	4122	14446
222	4133	14403
223	4141	14346
224	4149	14293
225	4165	14267
226	4173	14212
227	4184	14170
228	4294	14460
229	4299	14395
230	4303	14327
231	4318	14297
232	4323	14231
233	4335	14191
234	4339	14125
235	4387	14204
236	4403	14177
237	4414	14134
238	4418	14068
239	4430	14030
240	4438	13977
