host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
3047.0,VIII Appia Antica,41.87136,12.48215,Private room,75.0,7.0,0.07,358.0,1.0,within a few hours,98.0,3.0,0.0,4.8,0.0
3504.0,I Centro Storico,41.895,12.49117,Entire home/apt,90.0,21.0,0.14,130.0,4.0,within a day,100.0,10.0,1.0,4.53,0.0
44552.0,I Centro Storico,41.89544677734375,12.491181373596191,Entire home/apt,105.0,203.0,1.35,310.0,2.0,within a few hours,100.0,100.0,1.0,4.81,0.0
538724.0,I Centro Storico,41.88788,12.46975,Entire home/apt,110.0,389.0,2.6,266.0,6.0,within an hour,100.0,100.0,1.0,4.87,1.0
11756.0,II Parioli/Nomentano,41.92582,12.46928,Entire home/apt,121.0,59.0,0.38,303.0,6.0,within a few hours,100.0,82.0,1.0,4.91,0.0
535822.0,I Centro Storico,41.89711,12.50423,Entire home/apt,94.0,289.0,1.94,307.0,3.0,within an hour,100.0,100.0,0.0,4.18,1.0
75450.0,I Centro Storico,41.9073,12.45349,Entire home/apt,165.0,127.0,0.89,66.0,6.0,within an hour,100.0,97.0,0.0,4.47,1.0
543054.0,VIII Appia Antica,41.85585,12.48361,Entire home/apt,80.0,7.0,0.05,0.0,2.0,within an hour,100.0,98.0,0.0,5.0,0.0
75450.0,I Centro Storico,41.908283,12.452617,Entire home/apt,73.0,42.0,0.35,0.0,5.0,within an hour,100.0,97.0,0.0,4.24,1.0
559233.0,V Prenestino/Centocelle,41.88814,12.52974,Entire home/apt,140.0,58.0,0.46,350.0,4.0,within an hour,100.0,88.0,0.0,4.53,0.0
77540.0,I Centro Storico,41.88992,12.46823,Entire home/apt,140.0,52.0,0.33,309.0,3.0,within an hour,100.0,100.0,0.0,4.48,1.0
77540.0,I Centro Storico,41.88992,12.46823,Entire home/apt,201.0,76.0,0.48,303.0,5.0,within an hour,100.0,100.0,0.0,4.63,1.0
77932.0,XIII Aurelia,41.89689,12.45695,Entire home/apt,2000.0,135.0,0.85,7.0,7.0,within an hour,100.0,100.0,1.0,4.77,1.0
355604.0,I Centro Storico,41.90428,12.4451,Entire home/apt,102.0,149.0,1.36,202.0,3.0,within an hour,100.0,100.0,1.0,4.81,0.0
78287.0,I Centro Storico,41.89294,12.50581,Private room,95.0,543.0,3.43,299.0,2.0,within an hour,100.0,100.0,1.0,4.81,1.0
577650.0,I Centro Storico,41.89416,12.50958,Entire home/apt,57.0,684.0,4.58,83.0,2.0,within an hour,100.0,99.0,1.0,4.61,0.0
80755.0,I Centro Storico,41.91029,12.44703,Private room,117.0,16.0,0.1,15.0,2.0,within an hour,100.0,73.0,0.0,4.71,0.0
190140.0,I Centro Storico,41.90108,12.45784,Private room,129.0,56.0,0.38,76.0,2.0,within an hour,100.0,43.0,0.0,4.82,0.0
81015.0,VII San Giovanni/Cinecittà,41.86287,12.54784,Private room,79.0,107.0,0.66,242.0,3.0,within an hour,100.0,85.0,0.0,4.22,1.0
592245.0,I Centro Storico,41.89509963989258,12.474244117736816,Entire home/apt,128.0,19.0,0.25,279.0,4.0,within a few hours,100.0,84.0,1.0,5.0,0.0
86452706.0,I Centro Storico,41.89084,12.46804,Entire home/apt,145.0,244.0,1.52,47.0,4.0,within an hour,100.0,100.0,0.0,4.37,1.0
599863.0,II Parioli/Nomentano,41.90051,12.51363,Entire home/apt,56.0,153.0,1.06,22.0,4.0,within an hour,100.0,96.0,1.0,4.88,0.0
50092040.0,I Centro Storico,41.89939,12.46711,Entire home/apt,159.0,198.0,2.16,314.0,6.0,0.6,80.0,100.0,0.0,4.48,0.0
619855.0,I Centro Storico,41.88786,12.4706,Entire home/apt,293.0,184.0,1.29,321.0,4.0,within an hour,100.0,100.0,1.0,4.81,1.0
86882.0,V Prenestino/Centocelle,41.89078,12.52634,Entire home/apt,130.0,113.0,0.7,79.0,3.0,within an hour,100.0,100.0,0.0,4.71,0.0
77540.0,I Centro Storico,41.88992,12.46823,Entire home/apt,140.0,75.0,0.47,308.0,3.0,within an hour,100.0,100.0,0.0,4.49,1.0
316068.0,I Centro Storico,41.8944,12.47714,Entire home/apt,281.0,291.0,1.99,322.0,2.0,within an hour,100.0,100.0,1.0,4.84,0.0
86452706.0,I Centro Storico,41.88958,12.4678,Entire home/apt,182.0,283.0,1.84,50.0,4.0,within an hour,100.0,100.0,0.0,4.35,1.0
645702.0,I Centro Storico,41.90274,12.46072,Private room,80.0,161.0,1.13,18.0,2.0,within an hour,100.0,98.0,1.0,4.96,0.0
77932.0,XIII Aurelia,41.89689,12.45695,Entire home/apt,886.0,34.0,0.22,89.0,7.0,within an hour,100.0,100.0,1.0,4.61,0.0
127506.0,XII Monte Verde,41.88016996711757,12.44955749836,Entire home/apt,113.0,166.0,1.1,310.0,7.0,within an hour,100.0,100.0,1.0,4.73,1.0
663406.0,VIII Appia Antica,41.85624,12.47893,Entire home/apt,78.0,80.0,0.69,264.0,3.0,within an hour,100.0,100.0,0.0,4.7,1.0
670337.0,I Centro Storico,41.8962,12.47071,Entire home/apt,147.0,120.0,0.99,219.0,6.0,within an hour,100.0,100.0,0.0,4.34,1.0
128832.0,IX Eur,41.78643,12.53517,Entire home/apt,90.0,18.0,0.17,249.0,5.0,0.6,100.0,100.0,0.0,4.87,0.0
486866.0,I Centro Storico,41.894,12.47896,Entire home/apt,660.0,6.0,0.04,294.0,4.0,within an hour,100.0,83.0,0.0,4.75,0.0
135112.0,IV Tiburtina,41.91506,12.54602,Private room,48.0,391.0,2.53,0.0,2.0,within an hour,100.0,100.0,0.0,4.84,1.0
246365.0,I Centro Storico,41.89579,12.47098,Entire home/apt,229.0,139.0,0.94,84.0,2.0,within an hour,100.0,100.0,1.0,4.75,1.0
246365.0,I Centro Storico,41.89737,12.47008,Entire home/apt,99.0,216.0,1.46,69.0,2.0,within an hour,100.0,100.0,1.0,4.69,1.0
160020.0,I Centro Storico,41.89484,12.48758,Entire home/apt,85.0,618.0,3.91,22.0,2.0,within an hour,100.0,100.0,1.0,4.68,1.0
161114.0,II Parioli/Nomentano,41.92239,12.487604,Private room,189.0,22.0,0.2,345.0,2.0,within a few hours,100.0,67.0,1.0,4.73,0.0
674843.0,I Centro Storico,41.89122,12.50543,Private room,128.0,92.0,0.67,319.0,2.0,within an hour,100.0,98.0,0.0,4.42,1.0
161114.0,II Parioli/Nomentano,41.92239,12.487604,Entire home/apt,189.0,52.0,0.33,351.0,3.0,within a few hours,100.0,67.0,1.0,4.86,0.0
679555.0,V Prenestino/Centocelle,41.88142,12.54422,Private room,100.0,26.0,0.31,0.0,2.0,within an hour,100.0,100.0,0.0,4.77,1.0
192075.0,XV Cassia/Flaminia,42.05745,12.48699,Entire home/apt,95.0,16.0,0.11,357.0,4.0,within an hour,100.0,80.0,0.0,4.53,0.0
