iter	RMSE
0	811.1440628
1	810.5682454
2	809.942867
3	809.3114101
4	808.7395092
5	808.2066419
6	807.5083306
7	807.0494594
8	806.7031146
9	806.2843905
10	805.9984476
11	805.5327704
12	805.323816
13	805.0717853
14	804.657539
15	804.2391886
16	804.0185247
17	803.7057492
18	803.4674756
19	803.380815
20	803.2396846
21	803.031814
22	802.8576813
23	802.6013479
24	802.4970031
25	802.4099277
26	802.2983278
27	802.0755221
28	801.9562624
29	801.862528
30	801.7390619
31	801.6393129
32	801.5385158
33	801.4855982
34	801.3931016
35	801.3187406
36	801.2252451
37	801.1227931
38	801.0308518
39	800.9027828
40	800.8010057
41	800.7378573
42	800.6778497
43	800.6276433
44	800.5801704
45	800.5450242
46	800.5252414
47	800.45216
48	800.4168562
49	800.3797062
50	800.3777737
51	800.3262368
52	800.3092678
53	800.2502554
54	800.180807
55	800.1435814
56	800.0932572
57	800.0709275
58	800.0183839
59	799.9506544
60	799.9476358
61	799.9460266
62	799.8952192
63	799.8597369
64	799.8372645
65	799.7772258
66	799.7340113
67	799.6767757
68	799.6508171
69	799.6117966
70	799.5834496
71	799.5420725
72	799.5234002
73	799.5222093
74	799.5191333
75	799.4549265
76	799.4089055
77	799.3825904
78	799.3682384
79	799.3413758
80	799.3171408
81	799.2694099
82	799.2307817
83	799.2095865
84	799.1876593
85	799.1493258
86	799.1090536
87	799.0995212
88	799.0811357
89	799.0478216
90	799.0377069
91	799.028323
92	799.0264498
93	799.0210706
94	798.9989406
95	798.9925608
96	798.9622633
97	798.9468508
98	798.9257861
99	798.915955
100	798.9038061
101	798.8744069
102	798.8710405
103	798.8629838
104	798.8346792
105	798.8097702
106	798.7710047
107	798.752666
108	798.7233861
109	798.71678
110	798.7107202
111	798.710679
112	798.6789816
113	798.6693473
114	798.6691049
115	798.6533889
116	798.6148447
117	798.5981755
118	798.5812522
119	798.5650402
120	798.5529662
121	798.5315524
122	798.5271481
123	798.5100561
124	798.4839173
125	798.4781681
126	798.4731682
127	798.4421646
128	798.4337367
129	798.4112861
130	798.3944445
131	798.3804726
132	798.3714455
133	798.3709358
134	798.3589973
135	798.3584006
136	798.3544312
137	798.3530812
138	798.3451136
139	798.3204994
140	798.3070721
141	798.2931368
142	798.2915558
143	798.2583497
144	798.2568182
145	798.2371541
146	798.2299079
147	798.2257378
148	798.2147852
149	798.1862625
150	798.1861738
151	798.1742813
152	798.16392
153	798.1437622
154	798.1233424
155	798.1033213
156	798.1030475
157	798.0726362
158	798.0571714
159	798.0388189
160	798.0326833
161	798.0200077
162	797.9957127
163	797.9713511
164	797.9510796
165	797.9345163
166	797.9128254
167	797.8999628
168	797.8852439
169	797.8719896
170	797.8590827
171	797.844916
172	797.8316841
173	797.8135673
174	797.7992241
175	797.7850775
176	797.758286
177	797.7476315
178	797.7410643
179	797.7325717
180	797.7231302
181	797.7111021
182	797.7019852
183	797.695864
184	797.6838684
185	797.6735212
186	797.6629775
187	797.6364228
188	797.611395
189	797.6046378
190	797.5929061
191	797.5849887
192	797.5780415
193	797.5728065
194	797.5637692
195	797.5482624
196	797.5263131
197	797.5060704
198	797.4974279
199	797.4791823
200	797.4644868
201	797.4563357
202	797.4372321
203	797.4234492
204	797.4078995
205	797.4003658
206	797.3929933
207	797.3860091
208	797.3740719
209	797.3612278
210	797.3453359
211	797.3352433
212	797.3234892
213	797.3139502
214	797.3049304
215	797.296369
216	797.29147
217	797.2870466
218	797.274103
219	797.2683146
220	797.2545786
221	797.2441749
222	797.2341757
223	797.2224297
224	797.219042
225	797.2080685
226	797.1978217
227	797.1932015
228	797.1840417
229	797.1739044
230	797.1705339
231	797.1604892
232	797.1500537
233	797.1445294
234	797.1383519
235	797.1294095
236	797.1204724
237	797.11302
238	797.1059897
239	797.0973251
240	797.0884159
241	797.0810519
242	797.0711252
243	797.066818
244	797.0610606
245	797.0529449
246	797.0498944
247	797.0430993
248	797.0409341
249	797.0357875
250	797.0278124
251	797.0215561
252	797.0175255
253	797.0064733
254	797.0038867
255	796.9964253
256	796.9869162
257	796.980933
258	796.9766481
259	796.969804
260	796.9640612
261	796.9550229
262	796.9515273
263	796.9458471
264	796.9398056
265	796.9339482
266	796.9315782
267	796.9249645
268	796.9193915
269	796.9140436
270	796.9087451
271	796.9002733
272	796.8941371
273	796.8894904
274	796.8878102
275	796.8837483
276	796.8789949
277	796.8734907
278	796.8677926
279	796.8632993
280	796.858592
281	796.8560542
282	796.8534828
283	796.8484542
284	796.8438416
285	796.8394769
286	796.8363485
287	796.8327895
288	796.828979
289	796.8242472
