iter	Passed	Remaining
0	8	8855
1	13	6496
2	18	6050
3	25	6374
4	30	5995
5	33	5612
6	38	5456
7	43	5424
8	48	5315
9	52	5167
10	58	5279
11	289	238212	231	17544
13	243	17127
14	296	19482
15	301	18569
16	305	17673
17	325	17781
18	331	17093
19	336	16506
20	363	16948
21	374	16633
22	385	16367
23	390	15864
24	394	15398
25	472	17714
26	481	17366
27	486	16904
28	491	16460
29	495	16022
30	522	16345
31	579	17522
32	598	17527
33	612	17405
34	618	17057
35	625	16756
36	634	16514
37	642	16254
38	646	15922
39	651	15625
40	658	15394
41	662	15111
42	667	14844
43	673	14636
44	683	14496
45	689	14301
46	694	14076
47	700	13885
48	708	13751
49	740	14076
50	745	13876
51	752	13714
52	761	13602
53	808	14164
54	815	14010
55	822	13872
56	839	13886
57	849	13800
58	857	13676
59	862	13508
60	867	13350
61	871	13187
62	876	13034
63	885	12947
64	905	13026
65	911	12905
66	925	12890
67	930	12755
68	935	12621
69	942	12521
70	946	12383
71	950	12255
72	954	12124
73	959	12005
74	1024	12630
75	1030	12534
76	1034	12402
77	1045	12355
78	1051	12254
79	1059	12184
80	1064	12071
81	1082	12117
82	1116	12337
83	1144	12477
84	1187	12783
85	1192	12677
86	1198	12575
87	1204	12487
88	1209	12375
89	1213	12274
90	1237	12362
91	1275	12589
92	1281	12497
93	1285	12392
94	1289	12285
95	1292	12172
96	1299	12093
97	1303	11998
98	1307	11900
99	1315	11843
100	1327	11814
101	1332	11731
102	1336	11639
103	1341	11554
104	1345	11470
105	1347	11367
106	1352	11288
107	1359	11229
108	1367	11176
109	1371	11094
110	1375	11014
111	1379	10933
112	1384	10865
113	1391	10815
114	1399	10767
115	1403	10698
116	1418	10704
117	1431	10696
118	1435	10624
119	1441	10567
12120	1511	1097121	1451	10446
122	1457	10389
123	1462	10333
124	1470	10291
125	1478	10255
126	1490	10246
127	1495	10184
128	1525	10300
129	1534	10268
130	1546	10256
131	1555	10231
132	1562	10182
133	1567	10132
134	1572	10076
135	1577	10022
136	1584	9980
137	1590	9934
138	138	1653	1139	1139	1662	1140	1140	1688	1141	1673	10113
142	1683	10087
143	1690	10048
144	1696	10000
145	1703	9962
146	1725	10011
147	1729	9958
148	1732	9896
149	1736149	17150	1739	150	1151	1743	151	1152	1748	152	1153	1758	153	1154	1762	154	1155	1769	9574
156	1774	9528
157	1779	9480
158	1783	9433
159	1788	9390
160	1793	9348
161	1797	9298
162	1804	162	1163	1811	163	1164	1819	164	1165	1823	165	1166	1826	166	1167	1829	167	1168	1832	168	1169	1848	9026
170	1852	8980
171	1855	8933
172	1858	8885
173	1863	8844
174	1868	8810
175	1874	8773
176	1876	8726
177	1880	8684
178	1894	8690
179	1907	8691
180	1914	8661
181	1950	8766
182	1955	8731
183	1959	8690
184	1966	8663
185	1970	8623
186	1976	8591
187	1978	8547
188	2000	8585
189	2005	8548
190	2009	8509
191	2015	8481
192	2018	8438
193	2021	8398
194	2027	8368
195	2044	8384
196	2047	196	2197	2050	197	2198	2055	198	2199	2060	199	2200	2063	8204
201	2066	8165
202	2071	8134
203	2077	203	2204	2082	204	2205	2098	8090
206	2103	8057
207	2108	8028
208	2115	8007
209	2122	7983
210	2137	7992
211	2140	7954
212	2143	7919
213	2151	7902
214	2157	7877
215	2165	7858
216	2201	7944
217	2210	7928
218	2221	7921
219	2228	7902
220	2235	7880
221	2241	7854
222	2244	7821
223	2250	7797
224	2256	7773
225	2260	7742
226	2266	7717
227	2274	7702
228	2281	7681
229	2291	7673
230	2312	7697
231	2314	7663
232	2319	7634
233	2329	7625
234	2334	7598
235	2341	7580
236	2345	7551
237	2350	7525
238	2357	7505
239	2359	7472
240	2365	7449
